NM_023018	65220
NM_002074	2782
NM_003036	6497
NM_199454	63976
NM_022114	63976
NM_018836	55966
NM_173795	148646
NM_181862	11332
NM_198681	57449
NM_177539	80835
NM_153812	148479
NM_015215	23261
NM_018948	54206
NM_012102	473
NM_025106	80176
NM_020248	56998
NM_006048	10277
NM_015074	23095
NM_007375	23435
NM_004958	2475
NM_015866	7799
NM_015001	23013
NM_015609	26099
NM_182744	4681
NM_005380	4681
NM_144623	127731
NM_003760	8672
NM_032236	84196
NM_044472	998
NM_001791	998
NM_014870	9923
NM_005826	10236
NM_054016	10772
NM_198174	57822
NM_198173	57822
NM_021180	57822
NM_004350	864
NM_207035	57035
NM_203401	3925
NM_203399	3925
NM_005563	3925
NM_152835	149420
NM_024674	79727
NM_005517	3151
NM_018450	8289
NM_139135	8289
NM_006015	8289
NM_152660	199870
NM_005644	6883
NM_016258	51441
NM_014676	9698
NM_006559	10657
NM_012316	23633
NM_030786	81493
NM_153756	252995
NM_005095	9202
NM_178548	339488
NM_017629	192670
NM_012199	26523
NM_177422	192669
NM_024852	192669
NM_005955	4520
NM_033044	23499
NM_012090	23499
NM_032793	84879
NM_006367	10487
NM_012421	6018
NM_172163	9132
NM_004700	9132
NM_024503	59269
NM_182792	7115
NM_004559	4904
NM_130440	5792
NM_002840	5792
NM_014663	9682
NM_018150	55182
NM_007170	10420
NM_021639	60313
NM_003629	8503
NM_016308	51727
NM_021952	1996
NM_014372	26994
NM_148909	114883
NM_148908	114883
NM_148907	114883
NM_148906	114883
NM_148905	114883
NM_148904	114883
NM_024586	114883
NM_007324	9372
NM_004799	9372
NM_033300	7804
NM_004631	7804
NM_017522	7804
NM_145716	23648
NM_018070	23648
NM_177414	8613
NM_003713	8613
NM_002228	3725
NM_005595	4774
NM_033407	85440
NM_005012	4919
NM_020925	57685
NM_020948	57708
NM_015640	26135
NM_020794	57554
NM_004768	9295
NM_030816	81573
NM_203350	9406
NM_005455	9406
NM_173808	257194
NM_001001933	431707
NM_152996	256435
NM_015534	26009
NM_201624	23032
NM_015017	23032
NM_198549	374986
NM_003902	8880
NM_012302	23266
NM_182948	5567
NM_002731	5567
NM_022354	64173
NM_014021	117178
NM_012137	23576
NM_001554	3491
NM_152890	255631
NM_006769	8543
NM_001514	2959
NM_019610	494115
NM_018103	55144
NM_182976	284695
NM_181781	284695
NM_201269	84146
NM_032186	84146
NM_016620	84146
NM_005665	7813
NM_007358	22823
NM_016040	50999
NM_001938	1810
NM_001839	1266
NM_021190	58155
NM_152238	51375
NM_015976	51375
NM_014839	9890
NM_033055	64645
NM_003672	8556
NM_133496	148867
NM_001400	1901
NM_080630	1301
NM_080629	1301
NM_001854	1301
NM_006113	10451
NM_018061	55119
NM_007269	6814
NM_014969	22911
NM_006496	2773
NM_033088	85369
NM_022768	64783
NM_004974	3737
NM_002232	3738
NM_002884	5906
NM_018704	55917
NM_006135	829
NM_014813	9860
NM_018364	54665
NM_198269	204851
NM_198268	204851
NM_181358	204851
NM_205848	148281
NM_007158	7812
NM_138959	81839
NM_005599	4808
NM_020440	5738
NM_006699	10905
NM_004326	607
NM_178426	405
NM_207171	23126
NM_015100	23126
NM_153649	7170
