NADK	ENSG00000008130	65220	Homo sapiens
GNB1	ENSG00000078369	2782	Homo sapiens
SKI	ENSG00000157933	6497	Homo sapiens
PRDM16	ENSG00000142611	63976	Homo sapiens
AJAP1	ENSG00000196581	55966	Homo sapiens
C1ORF188		148646	Homo sapiens
ACOT7	ENSG00000097021	11332	Homo sapiens
PLEKHG5	ENSG00000171680	57449	Homo sapiens
TAS1R1	ENSG00000173662	80835	Homo sapiens
PHF13	ENSG00000116273	148479	Homo sapiens
CAMTA1	ENSG00000171735	23261	Homo sapiens
ERRFI1	ENSG00000116285	54206	Homo sapiens
RERE	ENSG00000142599	473	Homo sapiens
SPSB1	ENSG00000171621	80176	Homo sapiens
CTNNBIP1	ENSG00000178585	56998	Homo sapiens
UBE4B	ENSG00000130939	10277	Homo sapiens
KIF1B	ENSG00000054523	23095	Homo sapiens
TARDBP	ENSG00000120948	23435	Homo sapiens
MTOR	ENSG00000198793	2475	Homo sapiens
PRDM2	ENSG00000116731	7799	Homo sapiens
SPEN	ENSG00000065526	23013	Homo sapiens
SZRD1	ENSG00000055070	26099	Homo sapiens
NBL1	ENSG00000158747	4681	Homo sapiens
VWA5B1	ENSG00000158816	127731	Homo sapiens
EIF4G3	ENSG00000075151	8672	Homo sapiens
USP48	ENSG00000090686	84196	Homo sapiens
CDC42	ENSG00000070831	998	Homo sapiens
ZBTB40	ENSG00000184677	9923	Homo sapiens
HNRNPR	ENSG00000125944	10236	Homo sapiens
SRSF10	ENSG00000188529	10772	Homo sapiens
GRHL3	ENSG00000158055	57822	Homo sapiens
RUNX3	ENSG00000020633	864	Homo sapiens
RSRP1	ENSG00000117616	57035	Homo sapiens
STMN1	ENSG00000117632	3925	Homo sapiens
PDIK1L	ENSG00000175087	149420	Homo sapiens
LIN28A	ENSG00000131914	79727	Homo sapiens
HMGN2	ENSG00000198830	3151	Homo sapiens
ARID1A	ENSG00000117713	8289	Homo sapiens
FAM76A	ENSG00000009780	199870	Homo sapiens
TAF12	ENSG00000120656	6883	Homo sapiens
YTHDF2	ENSG00000198492	51441	Homo sapiens
PUM1	ENSG00000134644	9698	Homo sapiens
KHDRBS1	ENSG00000121774	10657	Homo sapiens
